;index;yield;price;bidask spread;du;coupon;duration;modified duration;dv01;pnl;vna;volume;open interest;convexity;maturity;bond code;reference date
0;0;0.06766126621176127;4042.107613;14.26514700000007;405;0.0;1.5282520671822517;1.4259966071675463;-0.5764031741944109;-10.046143999999913;3994.299839;120346;;1.7246422297595017;2024-08-15;BRSTNCNTB096;2023-01-02
1;1;0.0629368241807354;3898.891993;9.941812000000027;5617;0.0;16.03193135142214;11.646576040463994;-4.540874207003071;-46.383164999999735;3994.299839;8220;;101.27526636825613;2045-05-15;BRSTNCNTB0A6;2023-01-02
2;2;0.06215785512221788;3961.830175;17.595139000000017;3104;0.0;9.778632608432824;8.292010869533843;-3.285153887434717;-36.62270699999999;3994.299839;1518;;46.21400376937922;2035-05-15;BRSTNCNTB0O7;2023-01-02
3;3;0.061936757712723584;4045.390928;33.51655699999992;1911;0.0;6.385833905116964;5.716469971069498;-2.3125355761148967;-28.18407500000012;3994.299839;0;;21.59334609431162;2030-08-15;BRSTNCNTB3B8;2023-01-02
4;4;0.06271184733915786;3980.547464;12.95897500000001;4426;0.0;13.065523242851752;10.16218106184693;-4.045104405444363;-42.03027699999984;3994.299839;0;;74.40948280250056;2040-08-15;BRSTNCNTB3C6;2023-01-02
5;5;0.06313943887788256;3935.080349;25.85110900000018;6936;0.0;18.98283083282361;12.53185803323847;-4.931386828305449;-49.86644500000011;3994.299839;14007;;125.36096289587121;2050-08-15;BRSTNCNTB3D4;2023-01-02
6;6;0.06513528131482481;4021.748667;0.019970999999713968;89;0.0;0.3531746031746032;0.3315772287534221;-0.13335202777466293;-4.870518000000175;3994.299839;0;;0.21062202540350172;2023-05-15;BRSTNCNTB4O9;2023-01-02
7;7;0.06291400772778012;3880.02292;0.0020079999999325082;8129;0.0;21.769530107870647;13.462393890543185;-5.223439685337553;-53.00410899999997;3994.299839;18462;;148.4425564061385;2055-05-17;BRSTNCNTB4Q4;2023-01-02
8;8;0.0637627693862472;4039.267666;0.18373800000017582;910;0.0;3.2766761080565496;3.035288438603982;-1.2260342447036692;-19.012151999999787;3994.299839;4143;;6.39825113319469;2026-08-17;BRSTNCNTB4U6;2023-01-02
9;9;0.06315771800658353;4030.763802;41.74842200000012;1411;0.0;4.881689735569532;4.451277783300597;-1.7942049361574846;-21.282130000000052;3994.299839;0;;13.174650849485667;2028-08-15;BRSTNCNTB4X0;2023-01-02
10;10;0.06376619958578672;3997.85876;9.989744000000428;592;0.0;2.2213466858040345;2.0775621317915838;-0.8305799968027259;-13.485206999999718;3994.299839;41888;;3.2190501926138833;2025-05-15;BRSTNCNTB633;2023-01-02
11;11;0.062191131772970816;4028.363228;11.122990999999729;2417;0.0;7.8300113634931945;6.840869832669755;-2.7557508481461355;-30.299967999999808;3994.299839;0;;31.213268392549658;2032-08-16;BRSTNCNTB674;2023-01-02
12;12;0.06286663026773387;3987.293837;10.313282000000072;1096;0.0;3.930476637170164;3.6357455715928575;-1.4496785910512244;-17.444846999999754;3994.299839;3041;;8.835021052442121;2027-05-17;BRSTNCNTB682;2023-01-02
13;13;0.06287952039134843;3933.394755;27.97607599999992;9450;0.0;24.564392613345575;13.843667556634294;-5.445260935722899;-58.380960000000414;3994.299839;0;;165.81402916705326;2060-08-16;BRSTNCNTB690;2023-01-02
